CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
1.01001E+11,7/23/2014 9:51,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,18 Santuit St  Dorchester  MA  02124,8,7,3,C11,Dorchester,8,Ward 16,1603,R3,18 Santuit St,2124,42.29039,-71.0636,Constituent Call
1.01001E+11,7/23/2014 7:45,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,204 N Beacon St  Brighton  MA  02135,11,4,9,D14,Allston / Brighton,15,Ward 22,2206,C,204 N Beacon St,2135,42.355805,-71.148674,Constituent Call
1.01001E+11,7/23/2014 12:11,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,5 Blackinton St  East Boston  MA  02128,1,9,1,A7,East Boston,1,Ward 1,113,R4,5 Blackinton St,2128,42.38796,-71.00358,Constituent Call
1.01001E+11,7/23/2014 7:53,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
1.01001E+11,7/23/2014 14:30,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,4 Ford St  East Boston  MA  02128,1,9,1,A7,East Boston,1,Ward 1,113,R2,4 Ford St,2128,42.38743,-71.00788,Constituent Call
1.01001E+11,7/23/2014 9:47,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,582 Dorchester Ave  South Boston  MA  02127,6,5,2,C6,South Boston,5,7,706,,582 Dorchester Ave,2127,42.329935,-71.056761,Constituent Call
1.01001E+11,7/24/2014 16:17,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,2 Wigglesworth St  Mission Hill  MA  02120,9,10A,8,B2,Mission Hill,14,Ward 10,1003,R3,2 Wigglesworth St,2120,42.334103,-71.103279,Constituent Call
1.01001E+11,7/24/2014 8:02,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,32 Dorset St  Dorchester  MA  02125,6,3,2,C6,Dorchester,5,Ward 7,708,R3,32 Dorset St,2125,42.32366,-71.05847,Constituent Call
1.01001E+11,7/25/2014 9:50,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,15 Germania St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 11,1106,CM,15 Germania St,2130,42.31413,-71.10212,Constituent Call
1.01001E+11,7/25/2014 9:57,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,9 Germania St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 11,1106,R2,9 Germania St,2130,42.31406,-71.10194,Constituent Call
